Refcode_Clean,Metal_Node,Eg_Corrected,PLD,Compatibility_Score
qmof-ddf0ee0,Al,2.5624909999999996,21.26967,0.9971714417139689
qmof-a2d8489,Al,3.150703,20.83629,0.9971714417139689
qmof-f4d2cb4,Al,2.8459400000000006,21.74795,0.9971714417139689
qmof-8531dca,Al,3.1206759999999996,20.51748,0.9971714417139689
qmof-e2bc1bc,Al,3.0821430000000003,8.28592,0.9964787562688192
qmof-19b2b95,Al,3.2999660000000004,9.39179,0.9964787562688192
qmof-72b3537,Al,3.2683600000000004,9.30696,0.9962924321492513
qmof-4ede352,Al,3.064659,8.24611,0.9962924321492513
qmof-9b20de3,Al,2.5933399999999995,9.99971,0.9956439733505249
qmof-b5538fe,Al,2.324182,10.24284,0.9956439733505249
qmof-d6bf3fd,Al,2.910717,22.24867,0.9950773526796403
qmof-916c1c5,Al,2.9050890000000003,21.05769,0.9950773526796403
qmof-f3f8bc5,Al,2.9201870000000003,22.9637,0.9950773526796403
qmof-5572326,Al,2.7871630000000005,21.96425,0.9950773526796403
qmof-60eddc5,Al,3.268325,22.11775,0.9950773526796403
qmof-d5867c2,Al,2.7500470000000004,20.34715,0.9950773526796403
qmof-801a6e7,Al,2.9796949999999995,20.07271,0.9947814925511679
qmof-ef4a02d,Al,2.681317,20.84841,0.9947814925511679
qmof-8573227,Al,2.964142,7.16666,0.9945625672309301
qmof-f9f153c,Al,3.164289,8.34378,0.9945625672309301
qmof-b2a2ee0,Al,2.686394,21.55119,0.9940664285535931
qmof-afbfd10,Al,2.678693,21.90847,0.9940664285535931
qmof-99abeac,Al,2.9942539999999997,21.00539,0.9940664285535931
qmof-b461389,Al,2.8437520000000003,21.46582,0.9940664285535931
qmof-9650908,Al,2.823132,21.95865,0.9940664285535931
qmof-15bd34b,Al,2.990798,20.50051,0.9940664285535931
qmof-dc18524,Al,3.2671469999999996,7.41996,0.9940243770250382
qmof-521e75d,Al,3.292276,7.84996,0.9940243770250382
qmof-a2ee661,Al,3.3924389999999995,9.18285,0.9940243770250382
qmof-3183880,Al,2.8226519999999997,12.97108,0.99369215965271
qmof-03c6ba9,Al,2.71964,11.18465,0.99369215965271
qmof-0116630,Al,2.7653489999999996,11.70437,0.99369215965271
qmof-9f78012,Al,3.296742,6.61841,0.993440310160319
qmof-9f581d4,Al,3.202503,4.81447,0.993440310160319
qmof-38e57cf,Al,3.2407519999999996,5.29752,0.993440310160319
qmof-9393f87,Al,3.2480659999999997,9.28717,0.9932794570922852
qmof-ab26a1c,Al,3.1743430000000004,7.45155,0.9932794570922852
qmof-c7e180e,Al,3.204992,7.90476,0.9932794570922852
qmof-465ca4f,Al,3.12014,6.57206,0.9932392040888468
qmof-d5e3f1f,Al,3.172865,4.61459,0.9932392040888468
qmof-fbd20d4,Al,3.154679,5.17706,0.9932392040888468
qmof-62af439,Al,3.196829,9.21516,0.9930160442988077
qmof-8421750,Al,3.1935320000000003,7.26632,0.9930160442988077
qmof-379b14c,Al,3.178186,7.80665,0.9930160442988077
qmof-2cc02cf,Al,2.726814,13.41129,0.9929280281066895
qmof-67247ca,Al,2.767049,13.9462,0.9929280281066895
qmof-465da86,Al,2.941587,14.54127,0.9929280281066895
qmof-b60a8d6,Al,2.8138370000000004,10.63225,0.9928247117996216
qmof-b893edd,Al,2.531561,10.81712,0.9926530701715731
qmof-9ab4e0a,Al,2.5427279999999994,9.82337,0.9926530701715731
