Refcode_Clean,Metal_Node,Eg_Corrected,PLD,Compatibility_Score
qmof-55ae928,Cu,1.63408,4.8927,1.0
qmof-648d493,Cu,1.635073,4.92447,1.0
qmof-17e43c6,Cu,1.636289,4.8999,1.0
qmof-0be7420,Cu,1.628798,4.19612,1.0
qmof-7ac9c16,Cu,1.648518,4.12725,1.0
qmof-7c74ed0,Cu,1.652009,4.12165,1.0
qmof-52e1c67,Cu,1.657737,4.14547,1.0
qmof-5b945c8,Cu,1.644069,4.23685,1.0
qmof-cfee5a8,Cu,1.649567,4.20502,1.0
qmof-a41b944,Cu,1.649427,4.16388,1.0
qmof-e99de19,Cu,1.635057,4.90403,1.0
qmof-34239b6,Cu,1.6351369999999998,4.90733,1.0
qmof-aa8159f,Cu,1.6538709999999999,4.89525,1.0
qmof-1560746,Al,2.494177,5.2082,1.0
qmof-451bd3c,Al,2.6841669999999995,5.15376,1.0
qmof-1f55141,Al,2.8745580000000004,5.26843,1.0
qmof-302ad52,Al,2.599652,7.65735,1.0
qmof-05cc789,Cu,1.634321,4.90003,1.0
qmof-a5a3523,Cu,1.63336,4.95336,1.0
qmof-db61142,Cu,1.6340919999999999,4.9417,1.0
qmof-801a6e7,Al,2.9796949999999995,20.07271,1.0
qmof-ef4a02d,Al,2.681317,20.84841,1.0
qmof-ddf0ee0,Al,2.5624909999999996,21.26967,1.0
qmof-6f17d1f,Al,2.8683379999999996,18.58427,1.0
qmof-32894ad,Al,1.938467,20.17322,1.0
qmof-9321947,Al,2.2531790000000003,19.31349,1.0
qmof-d6bf3fd,Al,2.910717,22.24867,1.0
qmof-916c1c5,Al,2.9050890000000003,21.05769,1.0
qmof-a2d8489,Al,3.150703,20.83629,1.0
qmof-f3f8bc5,Al,2.9201870000000003,22.9637,1.0
qmof-5572326,Al,2.7871630000000005,21.96425,1.0
qmof-f4d2cb4,Al,2.8459400000000006,21.74795,1.0
qmof-651fd87,Al,2.8890599999999997,20.12766,1.0
qmof-60eddc5,Al,3.268325,22.11775,1.0
qmof-d5867c2,Al,2.7500470000000004,20.34715,1.0
qmof-8531dca,Al,3.1206759999999996,20.51748,1.0
qmof-25d399e,Al,2.7669049999999995,21.78156,1.0
qmof-74552cd,Al,2.9481390000000003,4.98445,1.0
qmof-9393f87,Al,3.2480659999999997,9.28717,1.0
qmof-72b3537,Al,3.2683600000000004,9.30696,1.0
qmof-b0b6587,Al,3.2263970000000004,7.58198,1.0
qmof-ab26a1c,Al,3.1743430000000004,7.45155,1.0
qmof-e2bc1bc,Al,3.0821430000000003,8.28592,1.0
qmof-19b2b95,Al,3.2999660000000004,9.39179,1.0
qmof-c7e180e,Al,3.204992,7.90476,1.0
qmof-4ede352,Al,3.064659,8.24611,1.0
qmof-2cc02cf,Al,2.726814,13.41129,1.0
qmof-67247ca,Al,2.767049,13.9462,1.0
qmof-465da86,Al,2.941587,14.54127,1.0
qmof-14375bc,Al,2.687914,15.76915,1.0
