Refcode_Clean,Metal_Node,Eg_Corrected,PLD,Compatibility_Score
qmof-ddf0ee0,Al,2.5624909999999996,21.26967,0.99575716
qmof-a2d8489,Al,3.150703,20.83629,0.99575716
qmof-f4d2cb4,Al,2.8459400000000006,21.74795,0.99575716
qmof-8531dca,Al,3.1206759999999996,20.51748,0.99575716
qmof-e2bc1bc,Al,3.0821430000000003,8.28592,0.99471813
qmof-19b2b95,Al,3.2999660000000004,9.39179,0.99471813
qmof-801a6e7,Al,2.9796949999999995,20.07271,0.99467224
qmof-ef4a02d,Al,2.681317,20.84841,0.99467224
qmof-72b3537,Al,3.2683600000000004,9.30696,0.99443865
qmof-4ede352,Al,3.064659,8.24611,0.99443865
qmof-9b20de3,Al,2.5933399999999995,9.99971,0.99346596
qmof-b5538fe,Al,2.324182,10.24284,0.99346596
qmof-d6bf3fd,Al,2.910717,22.24867,0.99270815
qmof-916c1c5,Al,2.9050890000000003,21.05769,0.99270815
qmof-f3f8bc5,Al,2.9201870000000003,22.9637,0.99270815
qmof-5572326,Al,2.7871630000000005,21.96425,0.99270815
qmof-60eddc5,Al,3.268325,22.11775,0.99270815
qmof-d5867c2,Al,2.7500470000000004,20.34715,0.99270815
qmof-8573227,Al,2.964142,7.16666,0.99193597
qmof-f9f153c,Al,3.164289,8.34378,0.99193597
qmof-91692c9,Al,2.47316,5.87622,0.991795
qmof-b60a8d6,Al,2.8138370000000004,10.63225,0.99173707
qmof-b2a2ee0,Al,2.686394,21.55119,0.9911342
qmof-afbfd10,Al,2.678693,21.90847,0.9911342
qmof-99abeac,Al,2.9942539999999997,21.00539,0.9911342
qmof-b461389,Al,2.8437520000000003,21.46582,0.9911342
qmof-9650908,Al,2.823132,21.95865,0.9911342
qmof-15bd34b,Al,2.990798,20.50051,0.9911342
qmof-dc18524,Al,3.2671469999999996,7.41996,0.9911287
qmof-521e75d,Al,3.292276,7.84996,0.9911287
qmof-a2ee661,Al,3.3924389999999995,9.18285,0.9911287
qmof-356051c,Al,3.1197490000000005,15.20216,0.990564
qmof-f065623,Al,3.0660740000000004,16.735,0.990564
qmof-aed36d7,Al,3.155114,14.38308,0.990564
qmof-3183880,Al,2.8226519999999997,12.97108,0.99053824
qmof-03c6ba9,Al,2.71964,11.18465,0.99053824
qmof-0116630,Al,2.7653489999999996,11.70437,0.99053824
qmof-9f78012,Al,3.296742,6.61841,0.99016047
qmof-9f581d4,Al,3.202503,4.81447,0.99016047
qmof-38e57cf,Al,3.2407519999999996,5.29752,0.99016047
qmof-9393f87,Al,3.2480659999999997,9.28717,0.9899192
qmof-ab26a1c,Al,3.1743430000000004,7.45155,0.9899192
qmof-c7e180e,Al,3.204992,7.90476,0.9899192
qmof-465ca4f,Al,3.12014,6.57206,0.9898588
qmof-d5e3f1f,Al,3.172865,4.61459,0.9898588
qmof-fbd20d4,Al,3.154679,5.17706,0.9898588
qmof-62af439,Al,3.196829,9.21516,0.98952407
qmof-8421750,Al,3.1935320000000003,7.26632,0.98952407
qmof-379b14c,Al,3.178186,7.80665,0.98952407
qmof-223436e,Al,2.5797109999999996,8.72973,0.98947734
